tasktype,ID,sumscore,nitems,group,gp,tt
sGJTU,61,35,40,native,1,3
sGJTU,62,36,40,immersion,2,3
sGJTU,63,38,40,classroom,3,3
sGJTU,64,36,40,immersion,2,3
sGJTU,65,39,40,classroom,3,3
sGJTU,66,40,40,native,1,3
sGJTU,67,33,40,classroom,3,3
sGJTU,68,26,40,classroom,3,3
sGJTU,69,39,40,native,1,3
sGJTU,70,35,39,native,1,3
sGJTU,71,24,40,immersion,2,3
sGJTU,72,6,39,immersion,2,3
sGJTU,73,37,40,native,1,3
sGJTU,74,35,40,immersion,2,3
sGJTU,75,17,38,classroom,3,3
sGJTU,76,35,40,immersion,2,3
sGJTU,77,33,40,immersion,2,3
sGJTU,78,39,40,native,1,3
sGJTU,79,38,40,classroom,3,3
sGJTU,80,21,40,immersion,2,3
sGJTU,81,26,40,classroom,3,3
sGJTU,82,35,40,native,1,3
sGJTU,83,30,39,immersion,2,3
sGJTU,84,38,40,native,1,3
sGJTU,85,32,40,immersion,2,3
sGJTU,86,40,40,native,1,3
sGJTU,87,39,40,native,1,3
sGJTU,88,33,40,classroom,3,3
sGJTU,89,39,40,native,1,3
sGJTU,90,40,40,native,1,3
sGJTU,91,33,40,classroom,3,3
sGJTU,92,35,40,immersion,2,3
sGJTU,93,38,40,immersion,2,3
sGJTU,94,28,40,immersion,2,3
sGJTU,95,26,40,classroom,3,3
sGJTU,96,20,33,classroom,3,3
sGJTU,97,36,40,classroom,3,3
sGJTU,98,27,40,classroom,3,3
sGJTU,99,26,39,classroom,3,3
sGJTU,100,39,40,native,1,3
sGJTU,101,38,40,classroom,3,3
sGJTU,102,26,38,immersion,2,3
sGJTU,103,28,40,classroom,3,3
sGJTU,104,25,40,classroom,3,3
sGJTU,105,37,40,native,1,3
sGJTU,106,40,40,native,1,3
sGJTU,107,38,40,immersion,2,3
sGJTU,108,33,39,classroom,3,3
sGJTU,109,31,40,immersion,2,3
sGJTU,110,38,40,native,1,3
sGJTU,111,37,40,native,1,3
sGJTU,112,17,40,immersion,2,3
sGJTU,113,38,40,classroom,3,3
sGJTU,114,31,40,classroom,3,3
sGJTU,115,36,40,immersion,2,3
sGJTU,116,21,39,immersion,2,3
sGJTU,117,31,40,classroom,3,3
sGJTU,118,36,40,native,1,3
sGJTU,119,30,40,classroom,3,3
sGJTU,120,33,40,classroom,3,3
sGJTU,121,28,40,immersion,2,3
sGJTU,122,22,40,classroom,3,3
sGJTU,123,36,40,immersion,2,3
sGJTU,124,39,40,native,1,3
sGJTU,125,26,40,immersion,2,3
sGJTU,126,39,40,immersion,2,3
sGJTU,127,38,40,native,1,3
sGJTU,128,23,40,classroom,3,3
sGJTU,129,29,39,classroom,3,3
sGJTU,130,37,40,classroom,3,3
sGJTU,131,37,40,native,1,3
sGJTU,132,37,40,native,1,3
sGJTU,133,38,40,native,1,3
sGJTU,134,36,39,immersion,2,3
sGJTU,135,29,40,immersion,2,3
wGJTG,1,39,39,immersion,2,4
wGJTG,2,38,40,native,1,4
wGJTG,3,38,40,immersion,2,4
wGJTG,4,31,39,classroom,3,4
wGJTG,5,35,37,classroom,3,4
wGJTG,6,36,40,native,1,4
wGJTG,7,40,40,native,1,4
wGJTG,8,39,40,classroom,3,4
wGJTG,9,39,40,native,1,4
wGJTG,10,37,40,classroom,3,4
wGJTG,11,38,40,classroom,3,4
wGJTG,12,40,40,immersion,2,4
wGJTG,13,40,40,native,1,4
wGJTG,14,39,40,immersion,2,4
wGJTG,15,35,40,classroom,3,4
wGJTG,16,36,38,immersion,2,4
wGJTG,17,40,40,native,1,4
wGJTG,18,39,40,immersion,2,4
wGJTG,19,38,40,native,1,4
wGJTG,20,40,40,native,1,4
wGJTG,21,40,40,native,1,4
wGJTG,22,36,39,immersion,2,4
wGJTG,23,39,39,immersion,2,4
wGJTG,24,40,40,classroom,3,4
wGJTG,25,40,40,native,1,4
wGJTG,26,38,40,immersion,2,4
wGJTG,27,40,40,immersion,2,4
